Request 2022-2023: Central & West,,,,Requests 2022-2023: Central & West,,,,Student Course Sequencing,,,,,Sequencing Central vs West,,,,,
Course Name,Request Type,Count,,Course Name,Request Type,Count,,bioCourse,physCourse,chemCourse,Student count,,,Total student,Chem 1,Chem Honors,None,School
Chemistry 1,R,382,,Chemistry 1,R,448,,Biology 1,Physics 1,NULL,547,,Regular Track,375,93,6,297,Central
Chemistry 1 Hon,R,171,,Chemistry 1 Hon,R,176,,Biology 1,NULL,NULL,257,,,355,132,8,211,West
Medical Terminology,R,40,,Chemistry 1,A,122,,Biology 1,Physics 1,Chemistry 1,255,,Honors Track,93,10,50,29,Central
AP Chemistry,R,33,,AP Chemistry,R,52,,Biology 1 Hon,Physics 1 Hon,Chemistry 1 Hon,162,,,157,30,92,37,West
AP Biology,R,20,,AP Environmental Science,R,42,,Biology 1 In,NULL,NULL,85,,,,,,,
Chemistry 1,E,17,,AP Physics 1,R,40,,Biology,NULL,NULL,75,,,,,,,
Chemistry 1 Hon,E,14,,AP Biology,R,36,,Biology 1 Hon,Physics 1 Hon,NULL,74,,School,Student Count,Science Elective ,,,
AP Physics 1,R,14,,Environmental Science,A,27,,Biology 1 Hon,Physics 1 Hon,Chemistry 1,47,,West Campus,643,NULL,,,
Medical Terminology Blended,R,11,,Medical Terminology,A,26,,Biology 1 Hon,NULL,NULL,33,,Central Campus,589,NULL,,,
Environmental Science,R,6,,AP Chemistry,A,24,,Biology 1 Bi,Physics 1 Bi,NULL,33,,Summer School,34,NULL,,,
AP Chemistry,E,5,,Chemistry 1 Hon,A,24,,Biology 1 Hon,Physics 1,NULL,32,,Lincoln School,6,NULL,,,
Chemistry 1 (Blended),R,4,,Medical Terminology,R,21,,Biology 1 Hon,Physics 1,Chemistry 1,26,,Pathways Campus,6,NULL,,,
AP Environmental Science,R,2,,AP Environmental Science,A,16,,Biology,Physics 1,NULL,22,,Central Campus,6,Medical Terminology,,,
Medical Terminology,E,1,,AP Physics 1,A,12,,Biology 1,Physics 1,Chemistry 1 Hon,15,,West Campus,6,Medical Terminology,,,
,,,,AP Biology,A,10,,Biology 1 Hon,NULL,Chemistry 1 Hon,13,,West Campus,2,AP Physics 1,,,
,,,,Chemistry 1 (Blended),R,2,,Biology 1,Physics,NULL,12,,,,,,,
,,,,Environmental Science,R,2,,Biology 1,Physics 1 Hon,Chemistry 1 Hon,12,,,,,,,
,,,,,,1080,,Biology 1 Bi,NULL,NULL,10,,,,,,,
Transcript Site Summary,,,,,,,,Biology 1 Bi,Physics 1 Bi,Chemistry 1,9,,,,,,,
Column1,Column2,,,Avg Grade per course,,,,Biology ,Physics 1,Chemistry 1,8,,,,,,,
West Campus,3645,,,Course Name,Student Count,Avg Percent,,Biology 1 Bi,Physics 1,NULL,6,,,,,,,
Central Campus,3573,,,Biology 1,9206,75.85310811,,Biology 1,Physics 1 Hon,NULL,6,,,,,,,
Summer School,1406,,,Physics 1,6421,75.58965977,,Biology 1 Hon,Physics,NULL,6,,AP Science Courses and grade,,,,,
Remote Learning,576,,,Physics 1 Hon,1840,79.18189071,,Biology 1 Hon,Physics 1,Chemistry 1 Hon,6,,Course Name,Year,Number of students,Grade Level,,
Pathways,117,,,Chemistry 1,1673,72.51104582,,Biology 1,Physics 1 Bi,NULL,5,,AP Chemistry,2022,48,12,,
Lincoln,75,,,Chemistry 1 Hon,937,82.55233583,,Biology,Physics,NULL,5,,AP Biology,2022,37,12,,
,,,,Biology 1 In,885,73.60867055,,Biology 1,Physics 1 Hon,Chemistry 1,4,,AP Physics 1,2020,27,10,,
Cours Summary ,,,,Biology 1 Bi,517,72.73129924,,Biology 1 Bi,Physics 1,Chemistry 1,3,,AP Physics 1,2022,18,10,,
Course Name,Year,Students,,Physics 1 Bi,333,71.13330328,,Biology 1 Hon,Physics,Chemistry 1,3,,AP Physics 1,2021,17,10,,
Biology 1,2021,1419,,AP Physics 1,129,78.33607985,,Bio,NULL,NULL,3,,AP Environmental Science,2022,12,12,,
Physics 1,2022,1336,,Medical Terminology,110,83.51990808,,Biology I,NULL,NULL,3,,AP Biology,2021,7,11,,
Biology 1,2022,1283,,AP Chemistry,106,76.1484908,,,,,,,AP Environmental Science,2021,5,11,,
Biology 1,2020,1098,,AP Biology,90,79.80848858,,,,,,,AP Environmental Science,2022,4,10,,
Physics 1,2021,1052,,AP Environmental Science,54,87.79962935,,,,,,,AP Environmental Science,2021,4,10,,
Biology 1,2019,962,,Environmental Science,31,NULL,,,,,,,AP Chemistry,2021,4,11,,
Physics 1,2020,896,,,,,,,,,,,AP Chemistry,2022,4,11,,
Chemistry 1,2022,464,,,,,,,,,,,AP Biology,2022,2,11,,
Chemistry 1,2021,420,,,,,,,,,,,AP Environmental Science,2022,2,11,,
Physics 1 Hon,2021,325,,,,,,,,,,,AP Physics 1,2021,2,11,,
Physics 1 Hon,2020,315,,,,,,,,,,,AP Physics 1,2022,2,11,,
Physics 1 Hon,2022,303,,Year,Course Name,Students,,,,,,,AP Physics 1,2022,2,12,,
Chemistry 1 Hon,2021,242,,2022,Biology 1,1283,,,,,,,,,,,,
Chemistry 1 Hon,2022,235,,2022,Chemistry 1,464,,,,,,,,,,,,
Biology 1 In,2021,155,,2022,Chemistry 1 Hon,235,,,Request for Juniors - MATCH,,852,,Requests for seniors,,724,,,
Biology 1 In,2022,145,,2022,Physics 1,1336,,,Course,Student Count,Request type,,Course,Studen count,Request Type,,,
Biology 1 Bi,2022,96,,2022,Physics 1 Hon,303,,,Chemistry 1,142,R,,Chemistry 1,74,R,,,
