ID,math9,math9_score,math10,math10_score,eng9,eng9_score,eng10,eng10_score,hist9,hist9_score,bio9,bio_score,phys10,phys10_score,chem11,chem11_score
2241070,Alg 1,75,,,English 1,90,Eng 2,65,,,,,,,,
2241070,Alg 1,75,,,English 1,90,English 2,95.239997863769531,,,,,,,,
2241076,Alg 1,50,,,Eng 1,58.333333333333336,Eng 1,75,,,Bio,50,,,,
4230947,Alg 1,70,Geometry Bi,70.800003051757813,Eng 1 ,70,,,,,,,,,,
4240781,ALG 1 ,65,Geom,85,English 1,73.550003051757813,English II,85,World Affairs,72.430000305175781,Biology ,95,,,,
4240781,ALG 1 ,65,Geom,85,English 1,73.550003051757813,English II,85,World Affairs,72.430000305175781,Biology 1,42.419998168945313,,,,
4240781,ALG 1 ,65,Geometry,95,English 1,73.550003051757813,English II,85,World Affairs,72.430000305175781,Biology ,95,,,,
4240781,ALG 1 ,65,Geometry,95,English 1,73.550003051757813,English II,85,World Affairs,72.430000305175781,Biology 1,42.419998168945313,,,,
4241041,ALG 1,65,GEOM,75,ENG 1,57.5,ENG 2,75,,,BIO,75,,,,
4241058,ALG 1,75,GEOM,85,ENG 1,80,ENG 2,85,,,BIO,50,,,,
4241058,ALG 1,75,GEOM,85,ENG 1,80,ENG 2,85,,,BIO (Credit Rec) (R),75,,,,
2240140,Alg 1 P1,75,Geometry,62.5,English 132,75,English 2,62.5,,,Biology 132,85,,,,
4241020,Alg I,65,GEO ,75,,,Eng 2,65,World Cultures ,65,,,,,,
4241020,Alg I,65,GEO ,75,,,English 2,75.470001220703125,World Cultures ,65,,,,,,
4241020,Alg I,65,GEO ,75,,,English Lang Dev,85,World Cultures ,65,,,,,,
4241020,Alg I,65,Geometry,75.330001831054688,,,Eng 2,65,World Cultures ,65,,,,,,
4241020,Alg I,65,Geometry,75.330001831054688,,,English 2,75.470001220703125,World Cultures ,65,,,,,,
4241020,Alg I,65,Geometry,75.330001831054688,,,English Lang Dev,85,World Cultures ,65,,,,,,
4241044,ALG I,75,,,ENG I,80,English 2,95,,,,,,,,
4241070,Alg I AB,70,Geometry ,57.5,,,,,World Cultures ,57.5,,,,,,
4241070,Alg I AB,70,Geometry Resource ,57.5,,,,,World Cultures ,57.5,,,,,,
2241042,Alg Prep Staggered 131,95,,,English 1 Prep,65,English 2,83.729999542236328,World History,70,Biology Prep,65,Physics 1,79.69000244140625,,
2240112,Algebra,65,Geometry,59.459999084472656,English,80,English 2,71.81500244140625,World History,57.5,Biology,62.5,,,,
2241045,Algebra,90,Geometry,81.439998626708984,Eng 9 Hon,85,English 2 Hon,94.489997863769531,AP Human Geography,90,Biology Hon,90,Physics 1 Hon,76.790000915527344,Chemistry 1 Hon,75.134998321533203
2241071,Algebra,85,Geometry Bi,60.090000152587891,,,,,,,Biology,85,Physics 1 Bi,53.840000152587891,,
2241079,Algebra ,57.5,Geometry,50,English 9,85,English 10,67.5,,,Biology,80,,,,
2241080,Algebra,75,,,English,85,English,85,,,Biology,75,Physics,85,,
2241101,Algebra,95,,,English,85,English,85,,,,,,,,
2241104,Algebra,75,,,English,85,,,,,Biology,75,,,,
4231118,Algebra,66.666666666666671,Geometry (2 hr),57.534999847412109,English 9,67.5,English 1,32.819999694824219,,,Biology,65,Physics 1,44.010000228881836,,
4231118,Algebra,66.666666666666671,Geometry (Double),65,English 9,67.5,English 1,32.819999694824219,,,Biology,65,Physics 1,44.010000228881836,,
4240404,Algebra,57.5,Geometry,50,English 9,75,English 10,70,,,Biology,75,,,,
