Student ID,Gender,Counselor,ELL Status,Double Math,FRPL Status,Grade Level,Home Language,Date of Birth,Race/Ethnicity,Transfer Student,Special Education Status
2260005,Female,Natalie Eich,Yes,Yes,Paid,9,Spanish,11/3/2007,Hispanic,Yes,No
2260849,Male,Natalie Eich,No,Yes,Free,9,English,2/1/2008,Black or African American,Yes,No
2240011,Male,Natalie Eich,Yes,,Free,11,Spanish,12/14/2005,Hispanic,No,Yes
2240012,Male,Natalie Eich,Yes,,Free,11,Spanish,12/14/2005,Hispanic,No,No
2260800,Male,Natalie Eich,No,,Free,9,English,12/3/2007,Black or African American,Yes,No
2250005,Female,Natalie Eich,No,Yes,Free,10,English,4/4/2007,Black or African American,No,No
2260850,Male,Natalie Eich,No,Yes,Paid,9,English,3/4/2008,White,Yes,Yes
2240013,Female,Natalie Eich,No,,Free,11,Spanish,4/24/2006,Hispanic,No,Yes
4240001,Male,Natalie Eich,No,,Free,11,English,8/30/2006,Hispanic,No,No
2250007,Male,Natalie Eich,Yes,Yes,Free,10,English,12/21/2006,Hispanic,No,No
2250008,Male,Natalie Eich,Yes,,Paid,10,English,9/11/2006,Hispanic,No,Yes
2250009,Male,Natalie Eich,No,,Free,10,English,6/11/2007,Hispanic,No,No
2240017,Female,Natalie Eich,Yes,,Free,11,Spanish,2/3/2006,Hispanic,No,No
2250010,Female,Natalie Eich,No,,Free,10,Spanish,5/3/2007,Hispanic,No,No
2240018,Female,Natalie Eich,No,,Free,11,Spanish,12/16/2005,Hispanic,No,No
2240973,Female,Natalie Eich,No,,Reduced,11,Spanish,11/9/2005,Hispanic,No,No
2240019,Male,Natalie Eich,No,,Free,11,Spanish,7/28/2006,Hispanic,No,No
2260007,Male,Natalie Eich,Yes,Yes,Free,9,Spanish,10/20/2007,Hispanic,Yes,No
2250011,Female,Natalie Eich,No,,Free,10,English,8/15/2007,Hispanic,No,Yes
2250012,Male,Natalie Eich,No,,Paid,10,Spanish,9/16/2006,Hispanic,No,No
2240903,Male,Natalie Eich,No,,Paid,11,Spanish,12/9/2005,Hispanic,Yes,No
2260008,Female,Natalie Eich,Yes,Yes,Free,9,Spanish,8/21/2008,Hispanic,Yes,No
2240020,Female,Natalie Eich,No,,Free,11,English,2/18/2006,Hispanic,No,No
2260009,Male,Natalie Eich,No,,Paid,9,English,6/21/2008,Hispanic,Yes,No
2260010,Male,Natalie Eich,No,,Free,9,English,7/31/2008,Hispanic,Yes,Yes
2250013,Female,Natalie Eich,No,,Free,10,Spanish,8/21/2007,Hispanic,No,No
2260011,Male,Natalie Eich,No,,Free,9,English,8/15/2008,Hispanic,Yes,No
2260012,Male,Natalie Eich,Yes,,Free,9,Spanish,1/13/2008,Hispanic,Yes,No
2260013,Male,Natalie Eich,Yes,,Free,9,Spanish,5/20/2008,Hispanic,Yes,No
2250014,Female,Natalie Eich,No,,Paid,10,Spanish,8/3/2007,Hispanic,No,No
2240938,Male,Natalie Eich,No,,Reduced,11,English,1/28/2006,Hispanic,No,No
2260015,Male,Natalie Eich,Yes,Yes,Free,9,Spanish,6/20/2008,Hispanic,Yes,No
2260016,Male,Natalie Eich,Yes,,Free,9,Spanish,2/14/2008,Hispanic,Yes,No
2260017,Female,Natalie Eich,No,Yes,Free,9,English,3/30/2008,Hispanic,Yes,No
4240916,Female,Natalie Eich,Yes,,Free,11,English,3/26/2006,White,No,Yes
2240025,Male,Natalie Eich,Yes,,Free,11,Spanish,3/26/2006,Hispanic,No,No
2260018,Male,Natalie Eich,No,,Paid,9,English,6/7/2008,Hispanic,Yes,No
2240026,Female,Natalie Eich,No,,Free,11,Spanish,6/9/2006,White,No,No
2260019,Female,Natalie Eich,No,,Free,9,Spanish,7/31/2008,Hispanic,Yes,No
2250015,Male,Natalie Eich,No,,Free,10,Spanish,11/30/2006,Hispanic,No,No
4260863,Male,Natalie Eich,Yes,Yes,Free,9,English,9/15/2007,Hispanic,Yes,No
2240027,Female,Natalie Eich,No,Yes,Free,11,Spanish,1/10/2006,Hispanic,No,No
2250016,Female,Natalie Eich,Yes,Yes,Free,10,English,6/15/2007,Hispanic,No,No
2260020,Male,Natalie Eich,No,Yes,Free,9,Spanish,1/30/2008,Hispanic,Yes,No
2260021,Female,Natalie Eich,No,Yes,Free,9,English,2/1/2008,Hispanic,Yes,No
4240006,Male,Natalie Eich,Yes,,Paid,11,English,11/28/2005,Black or African American,No,Yes
2250087,Male,Natalie Eich,Yes,,Free,10,English,2/3/2007,Hispanic,No,No
2260022,Male,Natalie Eich,Yes,,Free,9,Spanish,12/18/2007,Hispanic,Yes,No
2260023,Male,Natalie Eich,No,,Reduced,9,English,11/2/2007,White,Yes,No
2240031,Male,Natalie Eich,No,,Free,11,English,12/21/2005,White,No,No
2260024,Female,Natalie Eich,Yes,,Free,9,Spanish,3/20/2008,Hispanic,Yes,No
2260025,Female,Natalie Eich,No,Yes,Reduced,9,English,8/13/2008,Hispanic,Yes,Yes
2260840,Female,Natalie Eich,No,,Paid,9,English,10/20/2007,Hispanic,Yes,No
2240032,Female,Natalie Eich,Yes,,Free,11,Spanish,9/30/2005,Hispanic,No,Yes
2250021,Female,Natalie Eich,Yes,,Free,10,Spanish,9/14/2006,Hispanic,No,No
2250022,Female,Natalie Eich,No,,Paid,10,English,6/14/2007,Hispanic,No,No
2240033,Male,Natalie Eich,No,,Paid,11,Spanish,12/15/2005,Hispanic,No,Yes
2260903,Male,Natalie Eich,No,,Free,9,Spanish,7/1/2008,Hispanic,Yes,No
2230028,Male,Natalie Eich,No,,Free,12,Spanish,8/10/2005,Hispanic,No,No
2250023,Female,Natalie Eich,Yes,,Free,10,Spanish,12/5/2006,Hispanic,No,No
4240009,Female,Natalie Eich,No,,Paid,11,Spanish,12/6/2005,Hispanic,No,No
2240035,Male,Natalie Eich,Yes,,Free,11,English,7/19/2006,Hispanic,No,Yes
2250024,Male,Natalie Eich,Yes,,Free,10,Spanish,2/26/2007,Hispanic,No,No
2260851,Male,Natalie Eich,Yes,,Reduced,9,English,2/2/2008,Hispanic,Yes,No
2260027,Female,Natalie Eich,No,,Paid,9,Spanish,2/16/2008,Hispanic,Yes,No
4260029,Male,Natalie Eich,No,,Reduced,9,English,2/25/2008,Hispanic,Yes,No
2250027,Female,Natalie Eich,No,,Paid,10,Spanish,11/4/2006,Hispanic,No,No
2250025,Male,Natalie Eich,Yes,,Reduced,10,Spanish,12/2/2006,Hispanic,No,No
2260028,Male,Natalie Eich,Yes,,Reduced,9,Spanish,8/19/2008,Hispanic,Yes,No
2250029,Female,Natalie Eich,No,,Free,10,Spanish,10/6/2006,Hispanic,No,No
2260029,Female,Natalie Eich,Yes,Yes,Free,9,Spanish,1/6/2008,Hispanic,Yes,No
2260030,Female,Natalie Eich,No,,Free,9,Spanish,11/20/2007,Hispanic,Yes,No
2260031,Female,Natalie Eich,Yes,,Free,9,English,5/30/2008,Hispanic,Yes,Yes
2240974,Female,Natalie Eich,No,,Free,11,Spanish,12/27/2006,Hispanic,No,No
2250030,Female,Natalie Eich,Yes,,Paid,10,Spanish,11/5/2006,Hispanic,No,Yes
2240037,Female,Natalie Eich,Yes,,Paid,11,Spanish,7/17/2006,Hispanic,No,No
2250031,Female,Natalie Eich,No,Yes,Paid,10,Spanish,10/6/2006,Hispanic,No,No
2250032,Male,Natalie Eich,No,,Free,10,Spanish,7/8/2007,Hispanic,No,No
2260801,Female,Natalie Eich,No,,Free,9,English,2/5/2008,Black or African American,Yes,No
2230035,Female,Natalie Eich,No,,Free,12,English,4/24/2005,Black or African American,No,No
2250034,Female,Natalie Eich,No,,Paid,10,English,7/3/2007,White,No,No
2240904,Male,Natalie Eich,No,,Paid,11,English,11/23/2005,White,No,No
2240001,Male,Natalie Eich,No,,Paid,11,English,11/23/2005,White,No,No
2260034,Male,Natalie Eich,No,,Free,9,English,3/3/2008,Black or African American,Yes,No
2240040,Female,Natalie Eich,No,,Free,11,English,10/18/2005,Black or African American,No,Yes
2230036,Male,Natalie Eich,No,,Free,12,English,5/14/2005,Hispanic,No,Yes
2250037,Male,Natalie Eich,No,Yes,Free,10,Spanish,2/15/2007,Hispanic,No,No
2250038,Male,Natalie Eich,Yes,,Free,10,English,4/25/2007,Hispanic,No,No
2260035,Female,Erika Martinez,Yes,,Free,9,Spanish,12/8/2007,Hispanic,Yes,No
2250039,Male,Natalie Eich,No,,Free,10,English,9/30/2006,Black or African American,No,No
2260036,Female,Natalie Eich,No,,Free,9,English,8/27/2008,Black or African American,Yes,No
2260037,Male,Natalie Eich,Yes,,Free,9,English,12/15/2007,Hispanic,Yes,Yes
2250040,Female,Natalie Eich,No,,Free,10,Spanish,12/27/2006,Hispanic,No,No
2240041,Female,Natalie Eich,Yes,,Free,11,Spanish,7/7/2006,Hispanic,No,No
2250042,Male,Natalie Eich,No,Yes,Free,10,English,10/27/2006,Hispanic,No,Yes
4240014,Female,Natalie Eich,No,,Free,11,English,11/25/2005,Hispanic,No,Yes
2260038,Female,Natalie Eich,No,,Free,9,Spanish,10/13/2007,Hispanic,Yes,No
2250044,Female,Natalie Eich,Yes,,Free,10,English,3/15/2007,Hispanic,No,Yes
2260039,Female,Natalie Eich,Yes,,Free,9,English,10/13/2007,Hispanic,Yes,No
2240042,Female,Natalie Eich,No,Yes,Paid,11,Spanish,8/14/2006,Hispanic,No,No
2260041,Female,Natalie Eich,Yes,,Free,9,Spanish,4/22/2008,Hispanic,Yes,No
2260042,Female,Natalie Eich,Yes,Yes,Free,9,Spanish,9/22/2007,Hispanic,Yes,No
2230039,Male,Natalie Eich,Yes,,Free,12,Spanish,2/14/2005,Hispanic,No,Yes
2260043,Male,Natalie Eich,Yes,,Free,9,Spanish,10/3/2006,Hispanic,Yes,Yes
2260044,Male,Natalie Eich,No,,Free,9,English,3/13/2008,White,Yes,Yes
2260045,Female,Natalie Eich,Yes,Yes,Free,9,Spanish,11/13/2007,Hispanic,Yes,No
2250045,Male,Natalie Eich,Yes,,Free,10,English,8/29/2007,Hispanic,No,No
2260046,Female,Natalie Eich,Yes,,Free,9,English,7/12/2008,Hispanic,Yes,Yes
2240044,Male,Natalie Eich,Yes,,Free,11,Spanish,9/1/2005,Hispanic,No,Yes
2250046,Female,Natalie Eich,Yes,,Free,10,Spanish,6/6/2007,Hispanic,No,No
2260047,Male,Natalie Eich,Yes,Yes,Free,9,English,1/18/2008,Hispanic,Yes,No
2240046,Male,Natalie Eich,Yes,Yes,Free,11,Spanish,11/2/2005,Hispanic,No,No
2260048,Male,Natalie Eich,Yes,,Free,9,Spanish,7/22/2008,Hispanic,Yes,No
2260049,Male,Natalie Eich,No,,Free,9,Spanish,5/14/2008,Hispanic,Yes,No
2240047,Male,Natalie Eich,No,,Paid,11,English,3/26/2006,Hispanic,No,No
2260050,Female,Natalie Eich,No,Yes,Free,9,Spanish,9/11/2007,Hispanic,Yes,No
2260051,Male,Natalie Eich,Yes,,Free,9,English,8/1/2008,Hispanic,Yes,No
2240048,Male,Natalie Eich,No,Yes,Reduced,11,Spanish,7/24/2006,Hispanic,No,No
2250047,Female,Natalie Eich,No,,Paid,10,English,7/25/2007,Hispanic,No,No
4240016,Male,Natalie Eich,No,,Free,11,English,9/18/2005,Hispanic,No,No
2240049,Female,Natalie Eich,No,,Paid,11,Spanish,12/30/2005,Hispanic,No,No
2241029,Female,Natalie Eich,No,,Free,11,English,10/1/2005,Black or African American,No,No
2240050,Female,Natalie Eich,No,,Free,11,English,2/17/2006,White,No,No
2260964,Male,Natalie Eich,No,Yes,Free,9,English,1/8/2007,Black or African American,Yes,No
4240439,Male,Natalie Eich,No,,Paid,11,English,1/25/2006,Asian or Pacific Islander,No,Yes
2250048,Female,Natalie Eich,No,,Reduced,10,English,10/7/2006,Hispanic,No,No
2260802,Female,Natalie Eich,No,,Reduced,9,English,1/3/2008,Hispanic,Yes,No
2240051,Male,Natalie Eich,No,,Paid,11,English,11/26/2005,Hispanic,No,No
