Department,Course Number,Course Name,Request Type,Grade,StudentNumber
,ZATHKBFC,Central Freshman Boys Basketba,E,9,2260800
,ZATHGBC,Cent. Boys Golf Varsity,E,9,2260850
,ZATHVBFC,Central Freshman Boys Volleyba,E,9,2260850
,ZATHWRJC,Central JV Wrestling,E,9,2260850
,ZATHKBVC,Central Varsity Boys Basketbl,E,12,2231026
,ZATHBDVC,Central Varsity Badminton,E,12,2230020
,ZATHBDJC,Central JV Badminton,E,10,2250010
,ZATHPMJC,Central JV Dance,E,10,2250010
,ZATHCBJC,Central JV Boys X Country,E,10,2250012
,ZATHWRJC,Central JV Wrestling,E,10,2250012
,ZATHCGVC,Cent. Girls X Country Varsity,E,9,2260008
,ZATHSBFC,Central Freshman Boys Soccer,E,9,2260009
,ZATHVBJC,Central JV Boys Volleyball,E,12,2230022
,ZATHWRJC,Central JV Wrestling,E,12,2230022
,ZATHSBFC,Central Freshman Boys Soccer,E,9,2260011
,ZATHWRJC,Central JV Wrestling,E,9,2260011
,ZATHFBFC ,Central Freshman Football,E,9,2260012
,ZATHVBFC,Central Freshman Boys Volleyba,E,9,2260015
,ZATHWRJC,Central JV Wrestling,E,9,2260015
,ZATHFBFC ,Central Freshman Football,E,9,2260016
,ZATHSBFC,Central Freshman Boys Soccer,E,9,2260018
,ZATHFBSC,Central Sophomore Football,E,10,2250015
,ZATHWRVC,Central Varsity Wrestling,E,10,2250087
,ZATHWRJC,Central JV Wrestling,E,9,2260022
,ZATHWRJC,Central JV Wrestling,E,9,2260023
,ZATHWRJC,Central JV Wrestling,E,11,2240033
,ZATHSBSC,Central JV Boys Soccer,E,10,2250025
,ZATHSBFC,Central Freshman Boys Soccer,E,9,2260028
,ZATHCHJC,Central JV Cheerleading,E,9,2260031
,ZATHFBSC,Central Sophomore Football,E,10,2250037
,ZATHSBFC,Central Freshman Boys Soccer,E,9,2260037
,ZATHCHJC,Central JV Cheerleading,E,10,2250044
,ZATHCWRG,Central Girls Wrestling,E,9,2260046
,ZATHSGFC,Central Freshman Girls Soccer,E,9,2260046
,ZATHCBVC,Central Boys X Country Varsity,E,12,2230043
,ZATHCGVC,Cent. Girls X Country Varsity,E,11,2241029
,ZATHKGSC,Central Sophomore Girls Basket,E,11,2241029
,ZATHTGVC,Central Varsity Girls TrkFld,E,11,2241029
,ZATHTGVC,Central Varsity Girls TrkFld,E,11,2240050
,ZATHFBVC,Central Football Varsity,E,12,2231021
,ZATHTBVC,Central Varsity Boys TrkFld,E,12,2231021
,ZATHSBSC,Central JV Boys Soccer,E,10,2250052
,ZATHPMVC,Central Dance,E,12,2230048
,ZATHFBFC ,Central Freshman Football,E,9,2260057
,ZACTSCHO,Scholastic Bowl,E,11,2240056
,ZATHVBJC,Central JV Boys Volleyball,E,11,2240056
,ZATHCWRG,Central Girls Wrestling,E,9,2260061
,ZATHTBVC,Central Varsity Boys TrkFld,E,11,2241112
,ZATHSBSC,Central JV Boys Soccer,E,11,2240061
,ZATHSBVC,Central Boys Soccer Varsity,E,10,2250060
,ZATHVGJC,Central JV Girls Volleyball ,E,11,2240065
,ZATHTNV,Central Boys Tennis,E,12,4230066
,ZATHCHVC,Central Cheerleading Varsity,E,12,2230055
,ZATHCBJC,Central JV Boys X Country,E,9,2260065
,ZATHCGVC,Cent. Girls X Country Varsity,E,9,2260070
,ZACTSPEE,Speech Team,E,12,2230058
,ZACTSPEE,Speech Team,E,10,2250068
,ZATHBDVC,Central Varsity Badminton,E,11,2240071
,ZATHTSVC,Cent. Girls Tennis Varsity,E,11,2240071
,ZATHVGVC,Central Girls Volleybl Varsity,E,11,2240939
,ZATHBGVC,Central Varsity Girls Bowling,E,12,2230891
,ZATHGGC,Cent. Girls Golf Varsity,E,12,2230891
,ZATHTGVC,Central Varsity Girls TrkFld,E,12,2230062
,ZATHVGVC,Central Girls Volleybl Varsity,E,12,2230066
,ZATHCWRG,Central Girls Wrestling,E,9,2260072
,ZATHVGFC,Central Freshman Girls Volleyb,E,9,2260072
,ZATHCHVC,Central Cheerleading Varsity,E,9,2260074
,ZATHFBSC,Central Sophomore Football,E,10,2250073
,ZACTSCHO,Scholastic Bowl,E,11,2240083
,ZATHCHJC,Central JV Cheerleading,E,11,2240084
,ZATHSWBC,Central Boys Swimming,E,12,2230069
,ZATHKGFC,Central Freshman Girls Basketb,E,9,2260076
,ZATHSFVC,Central Varsity Softball,E,11,2240085
,ZATHVGJC,Central JV Girls Volleyball ,E,10,4250077
,ZATHWRJC,Central JV Wrestling,E,9,2260083
,ZATHSBSC,Central JV Boys Soccer,E,10,2250080
,ZATHBBFC,Central Freshman Baseball,E,9,2260003
,ZATHKGFC,Central Freshman Girls Basketb,E,9,2260085
,ZATHTGVC,Central Varsity Girls TrkFld,E,9,2260085
,ZATHCGVC,Cent. Girls X Country Varsity,E,9,2260088
,ZACTSCHO,Scholastic Bowl,E,11,2240096
,ZATHBDVC,Central Varsity Badminton,E,12,2230090
,ZATHTBVC,Central Varsity Boys TrkFld,E,9,2260094
,ZATHFBVC,Central Football Varsity,E,11,2240104
,ZATHFBVC,Central Football Varsity,E,11,2240905
,ZATHKGSC,Central Sophomore Girls Basket,E,10,2250096
,ZATHTGVC,Central Varsity Girls TrkFld,E,10,2250096
,ZATHCHJC,Central JV Cheerleading,E,11,2240106
,ZACTSCHO,Scholastic Bowl,E,10,2250097
,ZATHKGVC,Central Varsity Girls Basktbl,E,9,2260098
,ZATHVGFC,Central Freshman Girls Volleyb,E,9,2260098
,ZATHTBVC,Central Varsity Boys TrkFld,E,10,2250979
,ZATHKGSC,Central Sophomore Girls Basket,E,10,2251081
,ZATHSFJC,Central JV Softball,E,9,2260803
,ZATHVGFC,Central Freshman Girls Volleyb,E,9,2260104
,ZATHVGVC,Central Girls Volleybl Varsity,E,12,2230100
,ZATHCHVC,Central Cheerleading Varsity,E,10,2250109
,ZATHCHVC,Central Cheerleading Varsity,E,11,2240119
,ZATHTGVC,Central Varsity Girls TrkFld,E,11,2240119
,ZATHVGFC,Central Freshman Girls Volleyb,E,9,2260108
,ZATHPMJC,Central JV Dance,E,10,2250110
,ZATHPMJC,Central JV Dance,E,12,2230103
,ZATHSWBC,Central Boys Swimming,E,10,2250113
,ZATHCBJC,Central JV Boys X Country,E,9,2260111
,ZATHTBVC,Central Varsity Boys TrkFld,E,9,2260111
,ZATHBBFC,Central Freshman Baseball,E,9,2260114
,ZATHWRJC,Central JV Wrestling,E,9,2260114
,ZATHSBVC,Central Boys Soccer Varsity,E,12,2230109
,ZATHSGVC,Central Varsity Girls Soccer,E,10,2250118
,ZATHKBSC,Central Sophomore Boys Basketb,E,9,2260806
,ZATHTBVC,Central Varsity Boys TrkFld,E,9,2260806
,ZATHFBSC,Central Sophomore Football,E,10,2250121
,ZATHSBSC,Central JV Boys Soccer,E,10,2250130
,ZATHSBSC,Central JV Boys Soccer,E,9,2260119
,ZATHWRJC,Central JV Wrestling,E,10,2250125
,ZATHWRJC,Central JV Wrestling,E,10,2250127
,ZATHVGVC,Central Girls Volleybl Varsity,E,12,2230114
,ZATHTGVC,Central Varsity Girls TrkFld,E,10,2250128
,ZATHSBFC,Central Freshman Boys Soccer,E,9,2260123
,ZATHBDVC,Central Varsity Badminton,E,11,2240150
,ZATHPMJC,Central JV Dance,E,10,2250132
,ZATHBDVC,Central Varsity Badminton,E,12,2230119
,ZATHBGVC,Central Varsity Girls Bowling,E,12,2230119
,ZATHFBVC,Central Football Varsity,E,11,2241089
,ZATHTBVC,Central Varsity Boys TrkFld,E,11,2241089
,ZATHKGVC,Central Varsity Girls Basktbl,E,12,2231085
,ZACTSCHO,Scholastic Bowl,E,12,2230122
,ZATHSBSC,Central JV Boys Soccer,E,10,2250136
,ZATHVGJC,Central JV Girls Volleyball ,E,10,2250137
,ZATHWRJC,Central JV Wrestling,E,11,2240158
,ZATHSGJC,Central JV Girls Soccer,E,10,2250140
,ZATHFBFC ,Central Freshman Football,E,9,2260134
,ZATHSWBC,Central Boys Swimming,E,9,2260134
,ZATHVBFC,Central Freshman Boys Volleyba,E,9,2260134
,ZATHCWRG,Central Girls Wrestling,E,10,2250147
,ZATHCGVC,Cent. Girls X Country Varsity,E,10,2250149
,ZATHCWRG,Central Girls Wrestling,E,9,2260137
,ZATHSGFC,Central Freshman Girls Soccer,E,9,2260137
,ZATHBGVC,Central Varsity Girls Bowling,E,12,2230133
,ZATHCBJC,Central JV Boys X Country,E,9,2260853
,ZATHWRJC,Central JV Wrestling,E,9,2260853
,ZATHFBVC,Central Football Varsity,E,11,2240165
,ZATHWRVC,Central Varsity Wrestling,E,11,2240165
,ZACTSCHO,Scholastic Bowl,E,9,2260141
,ZATHSBSC,Central JV Boys Soccer,E,11,2240174
,ZATHCGVC,Cent. Girls X Country Varsity,E,9,2260144
,ZATHTGVC,Central Varsity Girls TrkFld,E,9,2260144
,ZATHSBFC,Central Freshman Boys Soccer,E,9,2260145
,ZATHTNV,Central Boys Tennis,E,9,2260146
,ZATHBDFC,Central Freshman Badminton,E,9,2260841
,ZATHVGFC,Central Freshman Girls Volleyb,E,9,2260841
,ZATHFBFC ,Central Freshman Football,E,9,2260855
