Department,Course Number,Course Name,Request Type,Grade,StudentNumber,Grade
,1501,APEX Gateway to Graduation 2.0,R,12,2240233,12
,1501,APEX Gateway to Graduation 2.0,R,12,2240302,12
,1501,APEX Gateway to Graduation 2.0,R,12,2240448,12
,1501,APEX Gateway to Graduation 2.0,A,11,2250485,11
,1501,APEX Gateway to Graduation 2.0,A,12,2240612,12
,1501,APEX Gateway to Graduation 2.0,A,12,4240292,12
,1501,APEX Gateway to Graduation 2.0,A,12,2240650,12
,1501,APEX Gateway to Graduation 2.0,A,12,2240655,12
,1501,APEX Gateway to Graduation 2.0,A,12,2240670,12
,1501,APEX Gateway to Graduation 2.0,A,12,2240678,12
,1501,APEX Gateway to Graduation 2.0,A,12,2240687,12
,1501,APEX Gateway to Graduation 2.0,A,12,2240692,12
,1501,APEX Gateway to Graduation 2.0,A,12,2240697,12
,1501,APEX Gateway to Graduation 2.0,A,12,2240704,12
,1501,APEX Gateway to Graduation 2.0,A,12,2240706,12
,1501,APEX Gateway to Graduation 2.0,A,12,2240848,12
,1501,APEX Gateway to Graduation 2.0,R,12,2240849,12
,1501,APEX Gateway to Graduation 2.0,R,12,2240859,12
,1501,APEX Gateway to Graduation 2.0,A,11,2250997,11
,1501,APEX Gateway to Graduation 2.0,R,12,2241078,12
,1501,APEX Gateway to Graduation 2.0,R,11,2251046,11
,1501,APEX Gateway to Graduation 2.0,R,12,2240878,12
,13011,Study Hall,R,12,2240642,12
,15001,APEX IN,R,11,2250042,11
,15001,APEX IN,R,11,2250092,11
,15001,APEX IN,R,12,2240107,12
,15001,APEX IN,R,12,2230096,12
,15001,APEX IN,A,12,2240228,12
,15001,APEX IN,R,11,2250286,11
,15001,APEX IN,R,12,4230291,12
,15001,APEX IN,R,12,2240362,12
,15001,APEX IN,R,12,2240448,12
,15001,APEX IN,R,10,2260446,10
,15001,APEX IN,R,12,2240508,12
,15001,APEX IN,R,12,2240514,12
,15001,APEX IN,R,10,2260544,10
,15001,APEX IN,R,11,2250628,11
,15001,APEX IN,R,11,2250667,11
,15001,APEX IN,R,12,2240680,12
,15001,APEX IN,R,12,2240689,12
,15001,APEX IN,A,12,2240969,12
,15001,APEX IN,R,12,2240819,12
,15001,APEX IN,R,11,2251013,11
,15001,APEX IN,R,12,7000875,12
,15001,APEX IN,R,11,2251046,11
Administrative,1323M1,One Goal Advisory,R,12,2241046,12
Administrative,1323M2,One Goal Advisory,R,12,2241046,12
Administrative,1323M1,One Goal Advisory,R,12,2240257,12
Administrative,1323M2,One Goal Advisory,R,12,2240257,12
Administrative,1323M1,One Goal Advisory,R,12,2240491,12
Administrative,1323M2,One Goal Advisory,R,12,2240491,12
Administrative,1414,Case Manager,E,12,2240013,12
Administrative,1414,Case Manager,E,12,4240916,12
Administrative,1414,Case Manager,E,12,4240006,12
Administrative,1414,Case Manager,E,9,4270714,9
Administrative,1414,Case Manager,E,12,4240439,12
Administrative,1414,Case Manager,E,12,4240447,12
Administrative,1414,Case Manager,E,11,4250068,11
Administrative,1414,Case Manager,E,12,2240092,12
Administrative,1414,Case Manager,E,9,4270462,9
Administrative,1414,Case Manager,E,10,4260918,10
Administrative,1414,Case Manager,E,11,4250126,11
Administrative,1414,Case Manager,E,12,4240089,12
Administrative,1414,Case Manager,E,11,4250133,11
Administrative,1414,Case Manager,E,10,4260164,10
Administrative,1414,Case Manager,E,12,2240184,12
Administrative,1414,Case Manager,E,9,2270090,9
Administrative,1414,Case Manager,E,12,4240495,12
Administrative,1414,Case Manager,E,9,4270143,9
Administrative,1414,Case Manager,E,12,2240202,12
Administrative,1414,Case Manager,E,12,2240215,12
Administrative,1414,Case Manager,E,10,2260223,10
Administrative,1414,Case Manager,E,10,2260908,10
Administrative,1414,Case Manager,E,9,4270253,9
Administrative,1414,Case Manager,E,11,2250268,11
Administrative,1414,Case Manager,E,10,4260275,10
Administrative,1414,Case Manager,E,9,2270448,9
Administrative,1414,Case Manager,E,9,2260265,9
Administrative,1414,Case Manager,E,9,2270269,9
Administrative,1414,Case Manager,E,9,2270743,9
Administrative,1414,Case Manager,E,12,4240161,12
Administrative,1414,Case Manager,E,9,2270685,9
Administrative,1414,Case Manager,E,11,2250386,11
Administrative,1414,Case Manager,E,10,4260379,10
Administrative,1414,Case Manager,E,11,2250397,11
Administrative,1414,Case Manager,R,9,2270218,9
Administrative,1414,Case Manager,R,9,2270858,9
Administrative,1414,Case Manager,E,9,4270083,9
Administrative,1414,Case Manager,E,10,4260410,10
Administrative,1414,Case Manager,E,12,2240425,12
Administrative,1414,Case Manager,E,10,2260395,10
Administrative,1414,Case Manager,E,10,4260417,10
Administrative,1414,Case Manager,E,11,2250428,11
Administrative,1414,Case Manager,E,9,2270656,9
Administrative,1414,Case Manager,E,9,2270887,9
Administrative,1414,Case Manager,E,12,2240458,12
Administrative,1414,Case Manager,E,11,2250462,11
Administrative,1414,Case Manager,E,12,2240495,12
Administrative,1414,Case Manager,E,9,4270654,9
Administrative,1414,Case Manager,E,12,4240237,12
Administrative,1414,Case Manager,E,11,2250524,11
Administrative,1414,Case Manager,E,10,2260895,10
