Course Name,Required,Lab Based,College Credit,Special,Credit
Biology 1,Y,Y,N,,1
Biology 1 Bi,Y,Y,N,bilingual,1 Bi
Biology 1 Co,y,y,n,cotaught,1
Biology 1 Honors,y,y,n,honors,1
Biology 1 In,y,y,n,instructional,1
Biology SIOP,y,y,n,SIOP,1
AP Biology,n,y,y,AP,1
Biology 151/152,n,y,y,dual credit,1
Chemistry 1,n,y,n,,1
Chemistry 1 (Blended),n,y,n,blended,1
Chemistry 1 Hon,n,y,n,honors,1
AP Chemistry,n,y,y,AP,1
Chemistry 101/102,n,y,y,dual credit,1
Physics 1,y,y,n,,1
Physics 1 Bi,y,y,n,bilingual,1
Physics 1 Co,y,y,n,cotaught,1
Physics 1 Hon,y,y,n,honors,1
Physics SIOP,y,y,n,SIOP,1
AP Physics 1,n,y,y,AP,1
AP Physics 2,n,y,y,AP,1
Environmental Science,n,n,n,,0.5
AP Environmental Science,n,n,y,AP,1
Forensics Science 1,n,n,n,,0.5
Forensics Science 2,n,n,n,,0.5
Medical Terminology,n,n,n,PLTW,0.5
Medical Terminology Blended,n,n,n,PLTW,0.5
Hort 185,n,n,n,dual credit,0.5
Hort 280,n,n,n,dual credit,0.5
Hort 281,n,n,n,dual credit,0.5
Hort 100,n,n,n,dual credit,0.5
Hort 250,n,n,n,dual credit,0.5
